Lenguage,Text,texto_tokenizado
en,"help of hydrography, global customers. Supplying of Navy commercial raise Together and trade. and industry,","['help', 'of', 'hydrography', 'global', 'customer', 'supplying', 'of', 'navy', 'commercial', 'raise', 'together', 'and', 'trade', 'and', 'industry']"
en,"of and to imposed sometimes of society of Party a discriminatory public languages, The were","['of', 'and', 'to', 'imposed', 'sometimes', 'of', 'society', 'of', 'party', 'discriminatory', 'public', 'language', 'the', 'were']"
en,"pluralistic first these colonialism, in European and of origin: more white South developed institutionalising history","['pluralistic', 'first', 'these', 'colonialism', 'in', 'european', 'and', 'of', 'origin', 'more', 'white', 'south', 'developed', 'institutionalising', 'history']"
en,is the languages and this the the British by most from encompassing in in Dutch,"['is', 'the', 'language', 'and', 'this', 'the', 'the', 'british', 'by', 'most', 'from', 'encompassing', 'in', 'in', 'dutch']"
en,wide fourth-ranked 1994. and Africans; playing Africans black vast the African of claim struggle never,"['wide', 'fourth-ranked', 'and', 'african', 'playing', 'african', 'black', 'vast', 'the', 'african', 'of', 'claim', 'struggle', 'never']"
en,"and is regular Congress the Its inside the However, world.[12] Afrikaans previous been black anti-apartheid","['and', 'is', 'regular', 'congress', 'the', 'it', 'inside', 'the', 'however', 'world', 'afrikaans', 'previous', 'been', 'black', 'anti-apartheid']"
en,its van formerly of Upon South the is South unification of country's Afrikaans. official been,"['it', 'van', 'formerly', 'of', 'upon', 'south', 'the', 'is', 'south', 'unification', 'of', 'country', 'afrikaans', 'official', 'been']"
en,"location the name Africa"" Since the separate languages. Dutch, the colonies. English geographic 1994, origin","['location', 'the', 'name', 'africa', 'since', 'the', 'separate', 'language', 'dutch', 'the', 'colony', 'english', 'geographic', 'origin']"
en,"at and was four Unie Union English Africa"" Republiek formal ""Republic tip name named","['at', 'and', 'wa', 'four', 'unie', 'union', 'english', 'africa', 'republiek', 'formal', 'republic', 'tip', 'name', 'named']"
en,"Cross, along Portuguese by his eastern he western epic the Bay of riches seeing landed","['cross', 'along', 'portuguese', 'by', 'his', 'eastern', 'he', 'western', 'epic', 'the', 'bay', 'of', 'rich', 'seeing', 'landed']"
en,"Walfisch he Dias point King, voyage In coast CÃ£o south as, This LuÃ­s Africa. and","['walfisch', 'he', 'dia', 'point', 'king', 'voyage', 'in', 'coast', 'caPSo', 'south', 'this', 'luas', 'africa', 'and']"
en,CamÃµes' point return Africa.[31] his bay). up storms north May first Bartolomeu what he the,"['camaues', 'point', 'return', 'africa', 'his', 'bay', 'up', 'storm', 'north', 'may', 'first', 'bartolomeu', 'what', 'he', 'the']"
en,"Diogo called, the of (Cape the to EsperanÃ§a, named first Rio probably Africa January of","['diogo', 'called', 'the', 'of', 'cape', 'the', 'to', 'esperanaSSa', 'named', 'first', 'rio', 'probably', 'africa', 'january', 'of']"
en,"believe Zulu created communication. belief the Christianity, The from that predominately in the million 10-12","['believe', 'zulu', 'created', 'communication', 'belief', 'the', 'christianity', 'the', 'from', 'that', 'predominately', 'in', 'the', 'million']"
en,of take as combined clans in nation Africa. communities The or their As as the,"['of', 'take', 'combined', 'clan', 'in', 'nation', 'africa', 'community', 'the', 'or', 'their', 'the']"
en,Zulu ceremonies syncretic the in with took living the a The skill beadwork part different,"['zulu', 'ceremony', 'syncretic', 'the', 'in', 'with', 'took', 'living', 'the', 'the', 'skill', 'beadwork', 'part', 'different']"
en,"society are of a amaZulu), systems.[3] also Zulu the both Reed Zulu's Zulu in The","['society', 'are', 'of', 'amazulu', 'system', 'also', 'zulu', 'the', 'both', 'reed', 'zulu', 'zulu', 'in', 'the']"
en,originated and brought The The South province policies. people of with function The identification to,"['originated', 'and', 'brought', 'the', 'the', 'south', 'province', 'policy', 'people', 'of', 'with', 'function', 'the', 'identification', 'to']"
en,the event Umhlanga. purely celebrate worn and the is also to to are established to,"['the', 'event', 'umhlanga', 'purely', 'celebrate', 'worn', 'and', 'the', 'is', 'also', 'to', 'to', 'are', 'established', 'to']"
en,his discusses relationships.[7]Beadwork on of of dance. traditional The in and The purpose The nation.,"['his', 'discus', 'relationship', 'beadwork', 'on', 'of', 'of', 'dance', 'traditional', 'the', 'in', 'and', 'the', 'purpose', 'the', 'nation']"
en,event the Dance. of the the at men was young pride The Umhlanga [6] women,"['event', 'the', 'dance', 'of', 'the', 'the', 'at', 'men', 'wa', 'young', 'pride', 'the', 'umhlanga', 'woman']"
en,time sexual an but political that speak by attire people the guests called a in,"['time', 'sexual', 'an', 'but', 'political', 'that', 'speak', 'by', 'attire', 'people', 'the', 'guest', 'called', 'in']"
en,The women inflicting all the time well. Umhlanga arising not at King worn ceremony in,"['the', 'woman', 'inflicting', 'all', 'the', 'time', 'well', 'umhlanga', 'arising', 'not', 'at', 'king', 'worn', 'ceremony', 'in']"
en,"were the organisations during ANC the force National a the ANC, the thorn 1990s, to","['were', 'the', 'organisation', 'during', 'anc', 'the', 'force', 'national', 'the', 'anc', 'the', 'thorn', 'to']"
en,"(SDUs) in non-violence, other and favoured each 1980s the Self-Protection Inkatha of two Inkatha time","['sdus', 'in', 'non-violence', 'other', 'and', 'favoured', 'each', 'the', 'self-protection', 'inkatha', 'of', 'two', 'inkatha', 'time']"
en,the of Africanist the forces.[12] clear initially Inkatha through Units United in the than [11]Although,"['the', 'of', 'africanist', 'the', 'force', 'clear', 'initially', 'inkatha', 'through', 'unit', 'united', 'in', 'the', 'than', 'although']"
en,"political Democratic their leadership were struggle. come respectively, Front Congress, in evidence members that protection","['political', 'democratic', 'their', 'leadership', 'were', 'struggle', 'come', 'respectively', 'front', 'congress', 'in', 'evidence', 'member', 'that', 'protection']"
en,"by were Congress. However, early taking at Because as close were side be the the","['by', 'were', 'congress', 'however', 'early', 'taking', 'at', 'because', 'close', 'were', 'side', 'be', 'the', 'the']"
en,"their of KwaZulu, within 'KwaZulu' and initially province the all South thus it campaigned the","['their', 'of', 'kwazulu', 'within', 'kwazulu', 'and', 'initially', 'province', 'the', 'all', 'south', 'thus', 'it', 'campaigned', 'the']"
en,"sometimes and, in particular, and eleventh of an as autonomous African Goodwill Zwelethini in and","['sometimes', 'and', 'in', 'particular', 'and', 'eleventh', 'of', 'an', 'autonomous', 'african', 'goodwill', 'zwelethini', 'in', 'and']"
en,"opposing as the regarding to legislatures, of Zulu its party necessity official proposed party. inclusion","['opposing', 'the', 'regarding', 'to', 'legislature', 'of', 'zulu', 'it', 'party', 'necessity', 'official', 'proposed', 'party', 'inclusion']"
en,"from violent, abstained were groups once opposition. However, other the Inkatha (and a However, provincial","['from', 'violent', 'abstained', 'were', 'group', 'once', 'opposition', 'however', 'other', 'the', 'inkatha', 'and', 'however', 'provincial']"
en,of attempted bloodshed provinces) for (formerly During and the they the in Inkatha obvious provincial,"['of', 'attempted', 'bloodshed', 'province', 'for', 'formerly', 'during', 'and', 'the', 'they', 'the', 'in', 'inkatha', 'obvious', 'provincial']"
en,back 35th party's would that IFP Buthelezi in elections the of 2019. Velenkosini KwaZulu-Natal.[33] intention,"['back', 'th', 'party', 'would', 'that', 'ifp', 'buthelezi', 'in', 'election', 'the', 'of', 'velenkosini', 'kwazulu-natal', 'intention']"
en,"its he October IFP partyâs legislature, in official of Hlabisa 2017, was to General pledged","['it', 'he', 'october', 'ifp', 'partyas', 'legislature', 'in', 'official', 'of', 'hlabisa', 'wa', 'to', 'general', 'pledged']"
en,"The at Hlabisa, Conference of as leader Municipality, became National party as at the leader","['the', 'at', 'hlabisa', 'conference', 'of', 'leader', 'municipality', 'became', 'national', 'party', 'at', 'the', 'leader']"
en,down mayor Extended was opposition announced won support National the leader.[32] Conference.[35] he its,"['down', 'mayor', 'extended', 'wa', 'opposition', 'announced', 'won', 'support', 'national', 'the', 'leader', 'conference', 'he', 'it']"
en,succeed candidate. step In Big the leader.[34] the of Local opposition in Five as,"['succeed', 'candidate', 'step', 'in', 'big', 'the', 'leader', 'the', 'of', 'local', 'opposition', 'in', 'five']"
en,twenty seats Freedom did made use own. not portfolios to could other GNU thus members,"['twenty', 'seat', 'freedom', 'did', 'made', 'use', 'own', 'not', 'portfolio', 'to', 'could', 'other', 'gnu', 'thus', 'member']"
en,"Assembly, two invited the the seats join even they form for of In of African","['assembly', 'two', 'invited', 'the', 'the', 'seat', 'join', 'even', 'they', 'form', 'for', 'of', 'in', 'of', 'african']"
en,leaders other parties of chief though the parliament. provision the government in for The Nelson,"['leader', 'other', 'party', 'of', 'chief', 'though', 'the', 'parliament', 'provision', 'the', 'government', 'in', 'for', 'the', 'nelson']"
en,"protest, campaign the seditious Mvezo, the law Sizwe prominence by and Marxism, politics, the the","['protest', 'campaign', 'the', 'seditious', 'mvezo', 'the', 'law', 'sizwe', 'prominence', 'by', 'and', 'marxism', 'politics', 'the', 'the']"
en,"the in unsuccessfully Communist 1962, University co-founding Thembu the Defiance A for and","['the', 'in', 'unsuccessfully', 'communist', 'university', 'co-founding', 'thembu', 'the', 'defiance', 'for', 'and']"
en,sentenced and imprisonment in of arrested President Congress of ANC League the Union Treason conspiring,"['sentenced', 'and', 'imprisonment', 'in', 'of', 'arrested', 'president', 'congress', 'of', 'anc', 'league', 'the', 'union', 'treason', 'conspiring']"
en,After Trial. life prosecuted nationalist its in in initially joining themselves non-violent committed arrested of,"['after', 'trial', 'life', 'prosecuted', 'nationalist', 'it', 'in', 'in', 'initially', 'joining', 'themselves', 'non-violent', 'committed', 'arrested', 'of']"
en,and privileged in the a the African royal University studied and that of a established,"['and', 'privileged', 'in', 'the', 'the', 'african', 'royal', 'university', 'studied', 'and', 'that', 'of', 'established']"
en,militant He 1944. government He for white-only SACP Youth at the involved government. rising joined,"['militant', 'he', 'government', 'he', 'for', 'white-only', 'sacp', 'youth', 'at', 'the', 'involved', 'government', 'rising', 'joined']"
en,"Hare committed apartheid, repeatedly to led Witwatersrand Influenced Mandela family of National and subsequently","['hare', 'committed', 'apartheid', 'repeatedly', 'to', 'led', 'witwatersrand', 'influenced', 'mandela', 'family', 'of', 'national', 'and', 'subsequently']"
en,"the South was to lawyer branch, to Fort system He Umkhonto There co-founded was","['the', 'south', 'wa', 'to', 'lawyer', 'branch', 'to', 'fort', 'system', 'he', 'umkhonto', 'there', 'co-founded', 'wa']"
en,"between Island, 1999. domestic reform, healthcare as He Pan on a split elder to","['between', 'island', 'domestic', 'reform', 'healthcare', 'he', 'pan', 'on', 'split', 'elder', 'to']"
en,"in and served Leading Truth its President which liberal Prison, war, racial prison, beliefs, and","['in', 'and', 'served', 'leading', 'truth', 'it', 'president', 'which', 'liberal', 'prison', 'war', 'racial', 'prison', 'belief', 'and']"
en,coalition declined which Secretary-General and 1990. a an election growing introducing by Mandela and,"['coalition', 'declined', 'which', 'secretary-general', 'and', 'an', 'election', 'growing', 'introducing', 'by', 'mandela', 'and']"
en,and became Mandela served charitable him expand and with trial Robben the ANC Klerk,"['and', 'became', 'mandela', 'served', 'charitable', 'him', 'expand', 'and', 'with', 'trial', 'robben', 'the', 'anc', 'klerk']"
en,"a de emphasised apartheid, Mandela succeeded land and framework Flight and past through Mandela investigate","['de', 'emphasised', 'apartheid', 'mandela', 'succeeded', 'land', 'and', 'framework', 'flight', 'and', 'past', 'through', 'mandela', 'investigate']"
en,the reconciliation led led to to own to multiracial international he Commission measures Klerk,"['the', 'reconciliation', 'led', 'led', 'to', 'to', 'own', 'to', 'multiracial', 'international', 'he', 'commission', 'measure', 'klerk']"
en,"combating of racial focused also pressure, president. and created administration the government the Pollsmoor and","['combating', 'of', 'racial', 'focused', 'also', 'pressure', 'president', 'and', 'created', 'administration', 'the', 'government', 'the', 'pollsmoor', 'and']"
en,"groups as country's years in and Mandela fears deputy, Amid predecessor's became W.","['group', 'country', 'year', 'in', 'and', 'mandela', 'fear', 'deputy', 'amid', 'predecessor', 'became']"
en,"who Student against involved the the Congress Africa any dancing,[33] at degree He community (SRC)","['who', 'student', 'against', 'involved', 'the', 'the', 'congress', 'africa', 'any', 'dancing', 'at', 'degree', 'he', 'community', 'src']"
en,"African first-year second-years,[38] gave in in of elite Students' Mandela of as decades black who","['african', 'first-year', 'second-years', 'gave', 'in', 'in', 'of', 'elite', 'student', 'mandela', 'of', 'decade', 'black', 'who']"
en,"university; on Second Association.[35] society of a for law connected or interpreter in Matanzima,","['university', 'on', 'second', 'association', 'society', 'of', 'for', 'law', 'connected', 'or', 'interpreter', 'in', 'matanzima']"
en,"and a Empire, became work Fort returned end around house involvement befriending to Lincoln,[34]","['and', 'empire', 'became', 'work', 'fort', 'returned', 'end', 'around', 'house', 'involvement', 'befriending', 'to', 'lincoln']"
en,"of House Wesley year, BA he when Jongintaba's had food, challenged an part in D.","['of', 'house', 'wesley', 'year', 'ba', 'he', 'when', 'jongintaba', 'had', 'food', 'challenged', 'an', 'part', 'in']"
en,"the He in anthropology, to stayed up avoided he with out.[37] year dominance the of","['the', 'he', 'in', 'anthropology', 'to', 'stayed', 'up', 'avoided', 'he', 'with', 'out', 'year', 'dominance', 'the', 'of']"
en,"about committee Cape, and a the close With began wanted as South in took play","['about', 'committee', 'cape', 'and', 'the', 'close', 'with', 'began', 'wanted', 'south', 'in', 'took', 'play']"
en,"suspended friends the Bible Tambo, the comrade classes University a Department.[31] performed Council politics, broke","['suspended', 'friend', 'the', 'bible', 'tambo', 'the', 'comrade', 'class', 'university', 'department', 'performed', 'council', 'politics', 'broke']"
en,"March, because against executive 1950,[71] call increased bringing the ANC Communism black Convention all in","['march', 'because', 'against', 'executive', 'call', 'increased', 'bringing', 'the', 'anc', 'communism', 'black', 'convention', 'all', 'in']"
en,"March on the the he December introduction part, held opposed against and workers in Suppression","['march', 'on', 'the', 'the', 'he', 'december', 'introduction', 'part', 'held', 'opposed', 'against', 'and', 'worker', 'in', 'suppression']"
en,"of police outvoted.[74] of Indian, strike not Mandela repression arguing together Speech of activists was","['of', 'police', 'outvoted', 'of', 'indian', 'strike', 'not', 'mandela', 'repression', 'arguing', 'together', 'speech', 'of', 'activist', 'wa']"
en,"the national it front, and 1950, protest Defend In united actions year of Free but","['the', 'national', 'it', 'front', 'and', 'protest', 'defend', 'in', 'united', 'action', 'year', 'of', 'free', 'but']"
en,"minority ANC-led, the elected to African, Mandela national multi-racial conference affecting May Johannesburg, Day of","['minority', 'anc-led', 'the', 'elected', 'to', 'african', 'mandela', 'national', 'multi-racial', 'conference', 'affecting', 'may', 'johannesburg', 'day', 'of']"
en,"was protest the that general groups.[73] same resulting and white in president strike 1951, continued","['wa', 'protest', 'the', 'that', 'general', 'group', 'same', 'resulting', 'and', 'white', 'in', 'president', 'strike', 'continued']"
en,communist of At and national took apartheid the majority a a Xuma's and but was,"['communist', 'of', 'at', 'and', 'national', 'took', 'apartheid', 'the', 'majority', 'xuma', 'and', 'but', 'wa']"
en,"Free Defend opposed At activists in Day ANCYL.[72] minority increased was Johannesburg, actions December held","['free', 'defend', 'opposed', 'at', 'activist', 'in', 'day', 'ancyl', 'minority', 'increased', 'wa', 'johannesburg', 'action', 'december', 'held']"
en,against place elected rule. of Communism national communist strike affecting Suppression strike in ANC multi-racial,"['against', 'place', 'elected', 'rule', 'of', 'communism', 'national', 'communist', 'strike', 'affecting', 'suppression', 'strike', 'in', 'anc', 'multi-racial']"
en,was the took all Xuma's arguing same the national was was and introduction resulting bringing,"['wa', 'the', 'took', 'all', 'xuma', 'arguing', 'same', 'the', 'national', 'wa', 'wa', 'and', 'introduction', 'resulting', 'bringing']"
en,"not a ANC-led, 1950, white the March took Mandela that of year but Mandela of","['not', 'anc-led', 'white', 'the', 'march', 'took', 'mandela', 'that', 'of', 'year', 'but', 'mandela', 'of']"
en,"workers ANC on police groups.[73] In call racially 1950,[71] and protest and Convention to front,","['worker', 'anc', 'on', 'police', 'group', 'in', 'call', 'racially', 'and', 'protest', 'and', 'convention', 'to', 'front']"
en,"continued African, conference apartheid the he of repression a 1951, and together the president a","['continued', 'african', 'conference', 'apartheid', 'the', 'he', 'of', 'repression', 'and', 'together', 'the', 'president']"
en,"Indian, of in united the the but general executive protest national in and the against","['indian', 'of', 'in', 'united', 'the', 'the', 'but', 'general', 'executive', 'protest', 'national', 'in', 'and', 'the', 'against']"
en,"pro-Democratic Russia his the Crimean sent Russia he with career a Concurrently, misused London,","['pro-democratic', 'russia', 'his', 'the', 'crimean', 'sent', 'russia', 'he', 'with', 'career', 'concurrently', 'misused', 'london']"
en,"personal United was Union, Appleton 1867. retirement 22, for Evergreen in of appointed the Portland's","['personal', 'united', 'wa', 'union', 'appleton', 'retirement', 'for', 'evergreen', 'in', 'of', 'appointed', 'the', 'portland']"
en,"State, returned United position held a He end and 1861. but the prospective to","['state', 'returned', 'united', 'position', 'held', 'he', 'end', 'and', 'but', 'the', 'prospective', 'to']"
en,in fourth States in States' to The died States regarding War. the to editor gain.,"['in', 'fourth', 'state', 'in', 'state', 'to', 'the', 'died', 'state', 'regarding', 'war', 'the', 'to', 'editor', 'gain']"
en,and promote interests on this buried from he Secretary as was for was following England,"['and', 'promote', 'interest', 'on', 'this', 'buried', 'from', 'he', 'secretary', 'wa', 'for', 'wa', 'following', 'england']"
en,"Tennessee Describing alongside to States the urban ""almost offer close-fought endorsement North culture. join abiding","['tennessee', 'describing', 'alongside', 'to', 'state', 'the', 'urban', 'almost', 'offer', 'close-fought', 'endorsement', 'north', 'culture', 'join', 'abiding']"
en,such in interest President's is and the the criticized its as a Union.[10] as today.[11],"['such', 'in', 'interest', 'president', 'is', 'and', 'the', 'the', 'criticized', 'it', 'union', 'today']"
en,"Appleton's includes act described goodwill Appleton's volume race Spartan legal which George role as War,","['appleton', 'includes', 'act', 'described', 'goodwill', 'appleton', 'volume', 'race', 'spartan', 'legal', 'which', 'george', 'role', 'war']"
en,"United ""greatness"" for Polk's from commercialism, largest Democratic culminating region's accepted to practice, Party record","['united', 'greatness', 'for', 'polk', 'from', 'commercialism', 'largest', 'democratic', 'culminating', 'region', 'accepted', 'to', 'practice', 'party', 'record']"
en,"spirits inauguration, city, be became disapproval in politics. in His and northeastern permitted published to","['spirit', 'inauguration', 'city', 'be', 'became', 'disapproval', 'in', 'politics', 'in', 'his', 'and', 'northeastern', 'permitted', 'published', 'to']"
en,"while arts northeastern with Polk, personal K. the Clerk.[9] a Bancroft ""not states. in diarist","['while', 'art', 'northeastern', 'with', 'polk', 'personal', 'the', 'clerk', 'bancroft', 'not', 'state', 'in', 'diarist']"
en,"Appleton's tour visit invitation industry, Boston having 135-page the would Governor places Polk the its","['appleton', 'tour', 'visit', 'invitation', 'industry', 'boston', 'having', '-page', 'the', 'would', 'governor', 'place', 'polk', 'the', 'it']"
en,"by transportation.[30][31] College is London measured has as higher has development, ultra influential,[22] in ranks","['by', 'transportation', 'college', 'is', 'london', 'measured', 'ha', 'higher', 'ha', 'development', 'ultra', 'influential', 'in', 'rank']"
en,"largest arrivals[39] education, sciences, expensive,[24][25] services, modern School hosted London's London largest considered most-popular-for-work[29] London","['largest', 'arrival', 'education', 'science', 'expensive', 'service', 'modern', 'school', 'hosted', 'london', 'london', 'largest', 'considered', 'most-popular-for-work', 'london']"
en,"and London is of College traffic.[40] the media, considerable natural and It leading been Games.[53]","['and', 'london', 'is', 'of', 'college', 'traffic', 'the', 'medium', 'considerable', 'natural', 'and', 'it', 'leading', 'been', 'game']"
en,"professional investment in any area busiest of in most city and upon the investment-friendly,[28] GDP.[note","['professional', 'investment', 'in', 'any', 'area', 'busiest', 'of', 'in', 'most', 'city', 'and', 'upon', 'the', 'investment-friendly', 'gdp', 'note']"
en,"for 2012, have hosting metropolitan airport home Olympic Imperial cities the first and largest international","['for', 'have', 'hosting', 'metropolitan', 'airport', 'home', 'olympic', 'imperial', 'city', 'the', 'first', 'and', 'largest', 'international']"
en,"finance, the world's 26th is most city. economic 3][34][35][36][37][38] city the University became most-visited called","['finance', 'the', 'world', 'th', 'is', 'most', 'city', 'economic', 'city', 'the', 'university', 'became', 'most-visited', 'called']"
en,"London and universities is and than destination,[41][42][43][44] centres[33] and research to major tourism and institutes","['london', 'and', 'university', 'is', 'and', 'than', 'destination', 'centre', 'and', 'research', 'to', 'major', 'tourism', 'and', 'institute']"
en,"most fifth Europe,[49] more as and highly It such world's College the desirable,[21] powerful,[20] be","['most', 'fifth', 'europe', 'more', 'and', 'highly', 'it', 'such', 'world', 'college', 'the', 'desirable', 'powerful', 'be']"
en,"one While London. of central as governmental For in government, this Revolt moved administration, the","['one', 'while', 'london', 'of', 'central', 'governmental', 'for', 'in', 'government', 'this', 'revolt', 'moved', 'administration', 'the']"
en,"of to its in the Peasants' London, had In form increasingly sophistication treasury, around","['of', 'to', 'it', 'in', 'the', 'peasant', 'london', 'had', 'in', 'form', 'increasingly', 'sophistication', 'treasury', 'around']"
en,"fixed City Disaster and Death the 18,000; Corporation a when capital was terms, Tower.","['fixed', 'city', 'disaster', 'and', 'death', 'the', 'corporation', 'when', 'capital', 'wa', 'term', 'tower']"
en,"flourished under the the came English been 1100, nearly became own to the grown","['flourished', 'under', 'the', 'the', 'came', 'english', 'been', 'nearly', 'became', 'own', 'to', 'the', 'grown']"
en,"in city 1381.[87] Westminster, true moved it centre, largest City royal and rest its institutions","['in', 'city', 'westminster', 'true', 'moved', 'it', 'centre', 'largest', 'city', 'royal', 'and', 'rest', 'it', 'institution']"
en,"royal in Winchester, population.[86] the the the the grew in lost Westminster size from having","['royal', 'in', 'winchester', 'population', 'the', 'the', 'the', 'the', 'grew', 'in', 'lost', 'westminster', 'size', 'from', 'having']"
en,"Corn of coffeehouse London and became London, mysteries. with the a British debate as especially","['corn', 'of', 'coffeehouse', 'london', 'and', 'became', 'london', 'mystery', 'with', 'the', 'british', 'debate', 'especially']"
en,was the London international London a economic 1817. the became centre.[111] centre issue[clarification Around a,"['wa', 'the', 'london', 'international', 'london', 'economic', 'the', 'became', 'centre', 'centre', 'issue', 'clarification', 'around']"
en,"the fleet, In invasion popular acting many to and Dutch in was as home man","['the', 'fleet', 'in', 'invasion', 'popular', 'acting', 'many', 'to', 'and', 'dutch', 'in', 'wa', 'home', 'man']"
en,by and Amsterdam became development one only deterrent to international news Royal printing since series,"['by', 'and', 'amsterdam', 'became', 'development', 'one', 'only', 'deterrent', 'to', 'international', 'news', 'royal', 'printing', 'since', 'series']"
en,"literacy has time, Laws Street same available; world's The Fleet murders Jewish the by leading","['literacy', 'ha', 'time', 'law', 'street', 'same', 'available', 'world', 'the', 'fleet', 'murder', 'jewish', 'the', 'by', 'leading']"
en,tiers: London and boroughs and local smaller as through and has billion by proposals revenue,"['tier', 'london', 'and', 'borough', 'and', 'local', 'smaller', 'through', 'and', 'ha', 'billion', 'by', 'proposal', 'revenue']"
en,"over mayor's roads which citywide, Â£7.4 by the Sadiq for carried Western been London arrangements.","['over', 'mayor', 'road', 'which', 'citywide', 'aPS', 'by', 'the', 'sadiq', 'for', 'carried', 'western', 'been', 'london', 'arrangement']"
en,"is local planning, London, (GLA), The GLA).[147] by revised the GLA schools, as administration was","['is', 'local', 'planning', 'london', 'gla', 'the', 'gla', 'by', 'revised', 'the', 'gla', 'school', 'administration', 'wa']"
en,"The and just In They accept while planning authorities.[142] Southwark. is strategic are Hall, is","['the', 'and', 'just', 'in', 'they', 'accept', 'while', 'planning', 'authority', 'southwark', 'is', 'strategic', 'are', 'hall', 'is']"
en,"powers, and Â£22 2011.[145] local the billion Khan, (Â£14.7 The capital.[143][144] out London of of","['power', 'and', 'aPS', 'local', 'the', 'billion', 'khan', 'aPS', 'the', 'capital', 'out', 'london', 'of', 'of']"
en,"to authorities such mayor most councils mayor's components: services, each mayor's is decisions reject London","['to', 'authority', 'such', 'mayor', 'most', 'council', 'mayor', 'component', 'service', 'each', 'mayor', 'is', 'decision', 'reject', 'london']"
en,"service witnesses we and aforesaid guarantee tenure by which said heirs demanded; guarantee, and of","['service', 'witness', 'we', 'and', 'aforesaid', 'guarantee', 'tenure', 'by', 'which', 'said', 'heir', 'demanded', 'guarantee', 'and', 'of']"
en,"the on and it annually the for Michaelmas for when mark besides, they for our","['the', 'on', 'and', 'it', 'annually', 'the', 'for', 'michaelmas', 'for', 'when', 'mark', 'besides', 'they', 'for', 'our']"
