Language,Text,texto_tokenizado
en,"and a Empire, became work Fort returned end around house involvement befriending to Lincoln,[34]","['end', 'befriending', 'became', 'returned', 'empire', 'around', 'involvement', 'house', 'to', 'work', 'lincoln']"
en,"of House Wesley year, BA he when Jongintaba's had food, challenged an part in D.","['when', 'an', 'wesley', 'year', 'ba', 'challenged', 'house', 'food', 'jongintaba', 'part', 'he']"
en,"the He in anthropology, to stayed up avoided he with out.[37] year dominance the of","['stayed', 'with', 'dominance', 'year', 'out', 'anthropology', 'up', 'to', 'avoided', 'he']"
en,"about committee Cape, and a the close With began wanted as South in took play","['south', 'with', 'began', 'wanted', 'close', 'took', 'committee', 'play', 'cape', 'about']"
en,"suspended friends the Bible Tambo, the comrade classes University a Department.[31] performed Council politics, broke","['department', 'broke', 'performed', 'tambo', 'bible', 'university', 'council', 'friend', 'politics', 'class', 'suspended', 'comrade']"
en,"March, because against executive 1950,[71] call increased bringing the ANC Communism black Convention all in","['bringing', 'all', 'anc', 'march', 'against', 'communism', 'convention', 'executive', 'call', 'increased']"
en,"March on the the he December introduction part, held opposed against and workers in Suppression","['on', 'march', 'held', 'opposed', 'against', 'worker', 'introduction', 'suppression', 'part', 'he']"
en,"of police outvoted.[74] of Indian, strike not Mandela repression arguing together Speech of activists was","['mandela', 'indian', 'speech', 'outvoted', 'strike', 'activist', 'repression', 'police', 'not', 'arguing', 'together']"
en,"the national it front, and 1950, protest Defend In united actions year of Free but","['free', 'defend', 'year', 'protest', 'but', 'front', 'action']"
en,"minority ANC-led, the elected to African, Mandela national multi-racial conference affecting May Johannesburg, Day of","['day', 'mandela', 'johannesburg', 'affecting', 'may', 'african', 'multi-racial', 'elected', 'minority', 'anc-led', 'to', 'conference']"
en,"was protest the that general groups.[73] same resulting and white in president strike 1951, continued","['group', 'same', 'continued', 'general', 'resulting', 'white', 'protest', 'strike', 'president', 'that']"
en,communist of At and national took apartheid the majority a a Xuma's and but was,"['apartheid', 'majority', 'took', 'xuma', 'but', 'at', 'communist']"
en,"Free Defend opposed At activists in Day ANCYL.[72] minority increased was Johannesburg, actions December held","['free', 'ancyl', 'defend', 'opposed', 'held', 'activist', 'johannesburg', 'minority', 'at', 'day', 'action', 'increased']"
en,against place elected rule. of Communism national communist strike affecting Suppression strike in ANC multi-racial,"['place', 'suppression', 'anc', 'against', 'communism', 'affecting', 'rule', 'multi-racial', 'elected', 'strike', 'communist']"
en,was the took all Xuma's arguing same the national was was and introduction resulting bringing,"['bringing', 'all', 'same', 'took', 'xuma', 'resulting', 'introduction', 'arguing']"
en,"not a ANC-led, 1950, white the March took Mandela that of year but Mandela of","['mandela', 'march', 'year', 'took', 'white', 'but', 'anc-led', 'not', 'that']"
en,"workers ANC on police groups.[73] In call racially 1950,[71] and protest and Convention to front,","['on', 'group', 'anc', 'racially', 'worker', 'protest', 'convention', 'police', 'front', 'call', 'to']"
en,"continued African, conference apartheid the he of repression a 1951, and together the president a","['apartheid', 'continued', 'conference', 'together', 'african', 'repression', 'president', 'he']"
en,"Indian, of in united the the but general executive protest national in and the against","['against', 'general', 'protest', 'indian', 'but', 'executive']"
en,"pro-Democratic Russia his the Crimean sent Russia he with career a Concurrently, misused London,","['russia', 'with', 'career', 'his', 'pro-democratic', 'crimean', 'misused', 'concurrently', 'london', 'sent', 'he']"
en,"personal United was Union, Appleton 1867. retirement 22, for Evergreen in of appointed the Portland's","['evergreen', 'union', 'appointed', 'retirement', 'for', 'appleton', 'personal', 'portland']"
en,"State, returned United position held a He end and 1861. but the prospective to","['end', 'returned', 'prospective', 'held', 'position', 'but', 'to', 'he']"
en,in fourth States in States' to The died States regarding War. the to editor gain.,"['editor', 'gain', 'fourth', 'died', 'to', 'regarding', 'war']"
en,and promote interests on this buried from he Secretary as was for was following England,"['interest', 'on', 'following', 'promote', 'this', 'for', 'from', 'buried', 'secretary', 'england', 'he']"
en,"Tennessee Describing alongside to States the urban ""almost offer close-fought endorsement North culture. join abiding","['urban', 'alongside', 'describing', 'close-fought', 'culture', 'join', 'almost', 'endorsement', 'offer', 'north', 'tennessee', 'to', 'abiding']"
en,such in interest President's is and the the criticized its as a Union.[10] as today.[11],"['interest', 'union', 'such', 'criticized', 'today', 'president']"
en,"Appleton's includes act described goodwill Appleton's volume race Spartan legal which George role as War,","['goodwill', 'race', 'volume', 'which', 'spartan', 'includes', 'role', 'appleton', 'act', 'legal', 'described', 'war']"
en,"United ""greatness"" for Polk's from commercialism, largest Democratic culminating region's accepted to practice, Party record","['polk', 'democratic', 'to', 'for', 'from', 'largest', 'practice', 'greatness', 'commercialism', 'accepted', 'party', 'culminating', 'region']"
en,"spirits inauguration, city, be became disapproval in politics. in His and northeastern permitted published to","['spirit', 'became', 'disapproval', 'permitted', 'inauguration', 'his', 'be', 'northeastern', 'politics', 'to', 'published']"
en,"while arts northeastern with Polk, personal K. the Clerk.[9] a Bancroft ""not states. in diarist","['diarist', 'polk', 'with', 'not', 'art', 'clerk', 'personal', 'bancroft', 'while', 'northeastern']"
en,"Appleton's tour visit invitation industry, Boston having 135-page the would Governor places Polk the its","['governor', 'polk', 'place', 'invitation', 'having', 'would', 'tour', 'appleton', 'boston', '-page', 'industry', 'visit']"
en,"by transportation.[30][31] College is London measured has as higher has development, ultra influential,[22] in ranks","['rank', 'ha', 'development', 'ultra', 'college', 'higher', 'influential', 'by', 'london', 'measured', 'transportation']"
en,"largest arrivals[39] education, sciences, expensive,[24][25] services, modern School hosted London's London largest considered most-popular-for-work[29] London","['modern', 'hosted', 'most-popular-for-work', 'arrival', 'science', 'expensive', 'largest', 'considered', 'service', 'london', 'education']"
en,"and London is of College traffic.[40] the media, considerable natural and It leading been Games.[53]","['leading', 'college', 'natural', 'been', 'london', 'considerable', 'traffic']"
en,"professional investment in any area busiest of in most city and upon the investment-friendly,[28] GDP.[note","['note', 'any', 'investment', 'professional', 'most', 'investment-friendly', 'busiest', 'gdp', 'area', 'upon']"
en,"for 2012, have hosting metropolitan airport home Olympic Imperial cities the first and largest international","['hosting', 'for', 'imperial', 'largest', 'metropolitan', 'olympic']"
en,"finance, the world's 26th is most city. economic 3][34][35][36][37][38] city the University became most-visited called","['most-visited', 'became', 'most', 'world', 'economic', 'university', 'th', 'finance', 'called']"
en,"London and universities is and than destination,[41][42][43][44] centres[33] and research to major tourism and institutes","['centre', 'major', 'tourism', 'research', 'destination', 'university', 'than', 'london', 'to']"
en,"most fifth Europe,[49] more as and highly It such world's College the desirable,[21] powerful,[20] be","['fifth', 'such', 'most', 'world', 'highly', 'college', 'be', 'more', 'europe', 'powerful', 'desirable']"
en,"one While London. of central as governmental For in government, this Revolt moved administration, the","['central', 'london', 'this', 'for', 'one', 'administration', 'government', 'moved', 'revolt', 'while', 'governmental']"
en,"of to its in the Peasants' London, had In form increasingly sophistication treasury, around","['form', 'peasant', 'increasingly', 'around', 'treasury', 'sophistication', 'london', 'to']"
en,"fixed City Disaster and Death the 18,000; Corporation a when capital was terms, Tower.","['fixed', 'when', 'disaster', 'capital', 'tower', 'term', 'death']"
en,"flourished under the the came English been 1100, nearly became own to the grown","['became', 'own', 'english', 'nearly', 'flourished', 'been', 'to', 'came', 'grown']"
en,"in city 1381.[87] Westminster, true moved it centre, largest City royal and rest its institutions","['centre', 'true', 'institution', 'royal', 'largest', 'rest', 'westminster', 'moved']"
en,"royal in Winchester, population.[86] the the the the grew in lost Westminster size from having","['population', 'having', 'lost', 'from', 'royal', 'winchester', 'grew', 'westminster', 'size']"
en,"Corn of coffeehouse London and became London, mysteries. with the a British debate as especially","['became', 'with', 'british', 'debate', 'especially', 'coffeehouse', 'london', 'corn', 'mystery']"
en,was the London international London a economic 1817. the became centre.[111] centre issue[clarification Around a,"['centre', 'became', 'issue', 'economic', 'around', 'clarification', 'london']"
en,"the fleet, In invasion popular acting many to and Dutch in was as home man","['acting', 'many', 'dutch', 'to', 'fleet', 'invasion']"
en,by and Amsterdam became development one only deterrent to international news Royal printing since series,"['became', 'one', 'development', 'series', 'deterrent', 'royal', 'by', 'only', 'news', 'since', 'to', 'printing']"
en,"literacy has time, Laws Street same available; world's The Fleet murders Jewish the by leading","['same', 'available', 'ha', 'murder', 'world', 'jewish', 'leading', 'literacy', 'by', 'law', 'fleet']"
en,tiers: London and boroughs and local smaller as through and has billion by proposals revenue,"['tier', 'ha', 'billion', 'smaller', 'through', 'proposal', 'by', 'borough', 'revenue', 'london', 'local']"
en,"over mayor's roads which citywide, Â£7.4 by the Sadiq for carried Western been London arrangements.","['which', 'road', 'sadiq', 'for', 'mayor', 'carried', 'citywide', 'aPS', 'by', 'western', 'been', 'london', 'arrangement']"
en,"is local planning, London, (GLA), The GLA).[147] by revised the GLA schools, as administration was","['revised', 'planning', 'gla', 'administration', 'by', 'london', 'local']"
en,"The and just In They accept while planning authorities.[142] Southwark. is strategic are Hall, is","['they', 'authority', 'accept', 'planning', 'just', 'southwark', 'while', 'strategic', 'are']"
en,"powers, and Â£22 2011.[145] local the billion Khan, (Â£14.7 The capital.[143][144] out London of of","['khan', 'billion', 'capital', 'power', 'aPS', 'out', 'london', 'local']"
en,"to authorities such mayor most councils mayor's components: services, each mayor's is decisions reject London","['authority', 'reject', 'such', 'most', 'mayor', 'council', 'service', 'each', 'london', 'component', 'to', 'decision']"
en,"service witnesses we and aforesaid guarantee tenure by which said heirs demanded; guarantee, and of","['which', 'said', 'witness', 'demanded', 'aforesaid', 'heir', 'guarantee', 'we', 'by', 'service', 'tenure']"
en,"the on and it annually the for Michaelmas for when mark besides, they for our","['they', 'on', 'when', 'for', 'mark', 'michaelmas', 'besides', 'our', 'annually']"
en,ordered deed all this of which us canons this and will time of at guarantee,"['deed', 'all', 'which', 'this', 'guarantee', 'will', 'canon', 'ordered', 'at']"
en,behalf our to the at at every we pay the wheresoever render the our year,"['render', 'wheresoever', 'behalf', 'pay', 'year', 'we', 'our', 'every', 'at', 'to']"
en,"undertaken of year, silver the canons aforesaid the on part concerning mark have aforesaid and","['on', 'aforesaid', 'year', 'concerning', 'mark', 'undertaken', 'canon', 'part', 'silver']"
en,"part Church under English English the trial ended, consolidated outcome the briefly in worship of","['briefly', 'english', 'trial', 'ended', 'consolidated', 'church', 'outcome', 'worship', 'part']"
en,"monarch Protectorate of replacement only The in Constitutionally, while England first, an execution the legally","['legally', 'monarch', 'execution', 'an', 'protectorate', 'replacement', 'only', 'while', 'england', 'constitutionally']"
en,"the established was the Glorious Charles with, at (1653-1658) as the personal English Parliamentary never","['never', 'with', 'english', 'personal', 'established', 'parliamentary', 'at', 'glorious']"
en,"war (1658-1659). II established the of the the the the Revolution executed consent, then govern","['revolution', 'consent', 'then', 'established', 'govern', 'executed', 'war']"
en,Commonwealth cannot without Ascendancy. (1651); England Protestant the of that of Oliver his and the,"['cannot', 'oliver', 'his', 'commonwealth', 'ascendancy', 'without', 'protestant', 'that', 'england']"
en,his created war went Lambert English a presided and in no civil 1660. was then,"['presided', 'english', 'lambert', 'created', 'then', 'his', 'went', 'war']"
en,"in Although his He Rump returned Restoration the of Safety, resignation. living a his the","['returned', 'although', 'safety', 'rump', 'resignation', 'his', 'restoration', 'living', 'he']"
en,prevented away by descendants.[1] Scotland. to relative of for troops from life. and the recalled,"['troop', 'prevented', 'relative', 'for', 'descendant', 'from', 'recalled', 'by', 'life', 'scotland', 'to']"
en,"elected. Petty. Marquess century and peer, like from was and the the late nor the","['peer', 'marquess', 'from', 'like', 'elected', 'nor', 'petty', 'century', 'late']"
en,"themselves Whigs. 18th development, of the William was Townshend, of such some including to of","['including', 'themselves', 'such', 'whig', 'development', 'th', 'william', 'some', 'to', 'townshend']"
en,"younger Pittite division the Whig parties passed, a appearance Gibbs, 19th Pittite a the Henry","['pittite', 'appearance', 'division', 'gibbs', 'whig', 'younger', 'passed', 'party', 'th']"
en,"Euston, prominent early Sir a time the Younger be this members, Granby, of University University","['this', 'member', 'younger', 'granby', 'university', 'be', 'sir', 'euston', 'prominent', 'early']"
en,"Croftes Vicary he political typical Hon. William centuries, a the parliament: distinguished and Grey,","['political', 'grey', 'distinguished', 'typical', 'hon', 'croftes', 'vicary', 'william', 'parliament', 'century', 'he']"
en,"independent today. France Empire. War one the was War which Empire, century, de came Europe.","['france', 'independent', 'which', 'came', 'today', 'one', 'empire', 'europe', 'century', 'war']"
en,Axis of Wars established Republic War. the and the remains and participant France. in the,"['republic', 'france', 'participant', 'axis', 'remains', 'established', 'war']"
en,"Algeria culminating Charles Following the victorious, in connections 1940. Republic, of most under took was","['republic', 'connection', 'algeria', 'most', 'following', 'took', 'culminating', 'victorious']"
en,"Third continental and First from established World economic 1960s, Allies Following major emerged (1803-15) it","['ally', 'major', 'following', 'world', 'continental', 'from', 'emerged', 'economic', 'established', 'third']"
en,"of in a retaining The Napoleon occupation power later 1944, collapse and World led His","['led', 'collapse', 'retaining', 'world', 'napoleon', 'power', 'his', 'occupation']"
en,"German parts AD the reunified state 10th Holy before states by the II, and","['before', 'reunified', 'holy', 'by', 'ad', 'th', 'part', 'german']"
en,"the 1918-19, 1990. seizure was formed of in was states the central revolution Various During","['central', 'seizure', 'revolution', 'formed', 'various', 'during']"
en,1815. into the named the northern Germany and led Empire. In the of a Confederation,"['led', 'confederation', 'germany', 'empire', 'northern', 'named', 'into']"
en,a II of of Germany. War I and the power nation the Nazi A After,"['after', 'germany', 'power', 'nation', 'nazi', 'war']"
en,"a century, replaced of a was of Community modern of The became of the","['community', 'became', 'modern', 'replaced', 'century']"
en,the is pursues founding of or not the armed Burgundy. European in Nations series successes,"['founding', 'success', 'pursues', 'armed', 'burgundy', 'nation', 'series', 'not', 'or']"
en,"world.[11] document policy Since from Cross, Association, and was best the and but organisations, It","['cross', 'world', 'document', 'from', 'organisation', 'but', 'policy', 'since']"
en,"1648. fought However, military Peace Austria Eurozone. Market maintained a the of second oldest of","['however', 'peace', 'second', 'austria', 'eurozone', 'oldest', 'military', 'market', 'maintained', 'fought']"
en,"to the in of which Area it involved the organisations, to Swiss independence the 16th","['independence', 'which', 'involved', 'organisation', 'area', 'swiss', 'th', 'to']"
en,"United the The an and from of Union, and Federal neutrality; medieval is did against","['union', 'did', 'from', 'neutrality', 'against', 'medieval', 'an']"
en,Norway than Denmark rainfall such northerly other total freezing some strait mi)[15] climate during of,"['strait', 'such', 'other', 'northerly', 'than', 'denmark', 'norway', 'total', 'freezing', 'climate', 'during', 'some', 'rainfall', 'mi']"
en,"border kilometres areas the to south, lowland influence coasts, also the maritime or extensive and","['south', 'also', 'or', 'coast', 'extensive', 'maritime', 'border', 'influence', 'area', 'kilometre', 'to', 'lowland']"
en,"is has latitudes. and lot Ocean sea high a colder, also commonplace an Even country.","['also', 'ha', 'colder', 'commonplace', 'ocean', 'country', 'lot', 'even', 'latitude', 'sea', 'an']"
